"id","year","stint","team","lg","g","ab","r","h","X2b","X3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp","batting","decade"
"stanlfr01",1980,1,"NYA","AL",49,86,13,18,3,0,0,5,0,0,5,5,0,2,1,1,0,0.209302325581395,"80s"
"staubru01",1980,1,"TEX","AL",109,340,42,102,23,2,9,55,1,1,39,18,3,2,1,6,16,0.3,"80s"
"stiebda01",1980,1,"TOR","AL",36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80s"
"sundbji01",1980,1,"TEX","AL",151,505,59,138,24,1,10,63,2,2,64,67,3,1,6,5,15,0.273267326732673,"80s"
"tananfr01",1980,1,"CAL","AL",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"thomago01",1980,1,"ML4","AL",162,628,78,150,26,3,38,105,8,5,58,170,4,2,3,6,7,0.238853503184713,"80s"
"thondi01",1980,1,"CAL","AL",80,267,32,68,12,2,0,15,7,5,10,28,0,1,5,2,5,0.254681647940075,"80s"
"tiantlu01",1980,1,"NYA","AL",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"torremi01",1980,1,"BOS","AL",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"trammal01",1980,1,"DET","AL",146,560,107,168,21,5,9,65,12,12,69,63,2,3,13,7,10,0.3,"80s"
"washicl01",1980,1,"CHA","AL",32,90,15,26,4,2,1,12,4,2,5,19,0,1,1,0,5,0.288888888888889,"80s"
"watsobo01",1980,1,"NYA","AL",130,469,62,144,25,3,13,68,2,1,48,56,5,1,1,6,20,0.307036247334755,"80s"
"whitalo01",1980,1,"DET","AL",145,477,68,111,19,1,1,45,8,4,73,79,0,0,12,6,9,0.232704402515723,"80s"
"whitefr01",1980,1,"KCA","AL",154,560,70,148,23,4,7,60,19,6,19,69,0,2,9,4,11,0.264285714285714,"80s"
"whitter01",1980,1,"TOR","AL",106,295,23,70,12,2,6,34,1,3,22,30,0,0,5,3,11,0.23728813559322,"80s"
"wilcomi01",1980,1,"DET","AL",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"wilsowi02",1980,1,"KCA","AL",161,705,133,230,28,15,3,49,79,10,28,81,3,6,5,1,4,0.326241134751773,"80s"
"yastrca01",1980,1,"BOS","AL",105,364,49,100,21,1,15,50,0,2,44,38,5,0,1,3,9,0.274725274725275,"80s"
"yountro01",1980,1,"ML4","AL",143,611,121,179,49,10,23,87,20,5,26,67,1,1,6,3,8,0.292962356792144,"80s"
"alexado01",1980,1,"ATL","NL",35,83,7,15,3,0,0,3,0,0,3,24,0,0,3,0,1,0.180722891566265,"80s"
"almonbi01",1980,1,"MON","NL",18,38,2,10,1,1,0,3,0,0,1,5,0,0,0,1,2,0.263157894736842,"80s"
"almonbi01",1980,2,"NYN","NL",48,112,13,19,3,2,0,4,2,0,8,27,1,0,0,0,0,0.169642857142857,"80s"
"ashbyal01",1980,1,"HOU","NL",116,352,30,90,19,2,3,48,0,0,35,40,12,0,2,5,11,0.255681818181818,"80s"
"bahnsst01",1980,1,"MON","NL",57,9,1,1,1,0,0,0,0,0,4,3,0,0,0,0,1,0.111111111111111,"80s"
"bairdo01",1980,1,"CIN","NL",61,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"80s"
"bakerdu01",1980,1,"LAN","NL",153,579,80,170,26,4,29,97,12,10,43,66,4,3,1,12,11,0.293609671848014,"80s"
"benchjo01",1980,1,"CIN","NL",114,360,52,90,12,0,24,68,4,2,41,64,2,2,0,4,9,0.25,"80s"
"berenju01",1980,1,"NYN","NL",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"bergmda01",1980,1,"HOU","NL",90,78,12,20,6,1,0,3,1,0,10,10,2,0,3,0,1,0.256410256410256,"80s"
"bevacku01",1980,1,"SDN","NL",62,71,4,19,6,1,0,12,1,1,6,1,0,0,1,1,1,0.267605633802817,"80s"
"bevacku01",1980,2,"PIT","NL",22,43,1,7,1,0,0,4,0,0,6,7,0,1,0,0,2,0.162790697674419,"80s"
"biittla01",1980,1,"CHN","NL",127,273,21,68,12,2,1,34,1,3,18,33,2,2,0,6,6,0.249084249084249,"80s"
"bluevi01",1980,1,"SFN","NL",31,68,3,5,1,0,0,1,0,0,3,34,0,0,7,1,0,0.0735294117647059,"80s"
"blylebe01",1980,1,"PIT","NL",37,61,0,5,1,0,0,2,0,0,0,27,0,1,9,0,1,0.0819672131147541,"80s"
"bondsbo01",1980,1,"SLN","NL",86,231,37,47,5,3,5,24,15,5,33,74,3,2,1,3,4,0.203463203463203,"80s"
"boonebo01",1980,1,"PHI","NL",141,480,34,110,23,1,9,55,3,4,48,41,12,1,4,2,9,0.229166666666667,"80s"
"bowala01",1980,1,"PHI","NL",147,540,57,144,16,4,2,39,21,6,24,28,7,3,7,3,9,0.266666666666667,"80s"
"brookhu01",1980,1,"NYN","NL",24,81,8,25,2,1,1,10,1,1,5,9,0,2,1,0,1,0.308641975308642,"80s"
"bucknbi01",1980,1,"CHN","NL",145,578,69,187,41,3,10,68,1,2,30,18,11,0,0,6,13,0.323529411764706,"80s"
"burrira01",1980,1,"NYN","NL",29,51,1,5,0,0,0,0,0,1,2,18,0,0,3,0,0,0.0980392156862745,"80s"
"burroje01",1980,1,"ATL","NL",99,278,35,73,14,0,13,51,1,1,35,57,6,2,1,2,4,0.262589928057554,"80s"
"cabelen01",1980,1,"HOU","NL",152,604,69,167,23,8,2,55,21,13,26,84,6,1,1,5,13,0.276490066225166,"80s"
"candejo01",1980,1,"PIT","NL",35,77,5,15,3,0,0,7,0,0,4,14,0,0,3,1,2,0.194805194805195,"80s"
"carbobe01",1980,1,"SLN","NL",14,11,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0.181818181818182,"80s"
"carbobe01",1980,2,"PIT","NL",7,6,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0.333333333333333,"80s"
"cardejo02",1980,1,"NYN","NL",26,42,4,7,1,0,0,4,0,1,6,4,0,0,0,1,3,0.166666666666667,"80s"
"carltst01",1980,1,"PHI","NL",38,101,7,19,1,0,0,6,0,0,1,21,0,0,6,3,4,0.188118811881188,"80s"
"cartega01",1980,1,"MON","NL",154,549,76,145,25,5,29,101,3,2,58,78,11,1,1,8,9,0.264116575591985,"80s"
"cedence01",1980,1,"HOU","NL",137,499,71,154,32,8,10,73,48,15,66,72,11,1,1,2,13,0.308617234468938,"80s"
"ceyro01",1980,1,"LAN","NL",157,551,81,140,25,0,28,77,2,2,69,92,5,5,4,1,16,0.254083484573503,"80s"
"chambch01",1980,1,"ATL","NL",158,602,83,170,37,2,18,72,7,3,49,73,6,4,2,4,11,0.282392026578073,"80s"
"clarkja01",1980,1,"SFN","NL",127,437,77,124,20,8,22,82,2,5,74,52,13,2,1,10,12,0.283752860411899,"80s"
"collida02",1980,1,"CIN","NL",144,551,94,167,20,4,3,35,79,21,53,68,2,3,3,3,5,0.303085299455535,"80s"
"conceda01",1980,1,"CIN","NL",156,622,72,162,31,8,5,77,12,2,37,107,2,1,2,6,20,0.260450160771704,"80s"
"cruzjo01",1980,1,"HOU","NL",160,612,79,185,29,7,11,91,36,11,60,66,13,0,0,8,11,0.302287581699346,"80s"
"curtijo01",1980,1,"SDN","NL",31,62,2,12,1,0,0,2,0,0,2,31,0,0,5,0,0,0.193548387096774,"80s"
"davalvi01",1980,1,"LAN","NL",7,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.166666666666667,"80s"
"davisma01",1980,1,"PHI","NL",2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"80s"
"dawsoan01",1980,1,"MON","NL",151,577,96,178,41,7,17,87,34,9,44,69,7,6,1,10,9,0.308492201039861,"80s"
"dejesiv01",1980,1,"CHN","NL",157,618,78,160,26,3,3,33,44,16,60,81,2,4,8,2,4,0.258899676375405,"80s"
"driesda01",1980,1,"CIN","NL",154,524,81,139,36,1,14,74,19,6,93,68,17,6,0,9,14,0.265267175572519,"80s"
"easlemi01",1980,1,"PIT","NL",132,393,66,133,27,3,21,74,5,9,43,65,6,0,0,9,7,0.338422391857506,"80s"
"evansda01",1980,1,"SFN","NL",154,556,69,147,23,0,20,78,17,5,83,65,6,2,6,6,12,0.264388489208633,"80s"
"fergujo01",1980,1,"LAN","NL",77,172,20,41,3,2,9,29,2,2,38,46,11,0,1,3,8,0.238372093023256,"80s"
"fingero01",1980,1,"SDN","NL",66,18,0,5,3,0,0,0,0,0,0,5,0,0,1,0,1,0.277777777777778,"80s"
"foliti01",1980,1,"PIT","NL",127,495,61,131,22,0,3,38,11,7,19,23,1,6,13,7,5,0.264646464646465,"80s"
"forscbo01",1980,1,"SLN","NL",32,78,11,23,5,0,3,10,1,0,2,18,0,0,9,0,1,0.294871794871795,"80s"
"forscke01",1980,1,"HOU","NL",32,77,3,18,3,0,0,8,1,0,1,33,0,0,6,0,0,0.233766233766234,"80s"
"forstte01",1980,1,"LAN","NL",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"fostege01",1980,1,"CIN","NL",144,528,79,144,21,5,25,93,1,0,75,99,14,1,0,4,14,0.272727272727273,"80s"
"frymawo01",1980,1,"MON","NL",61,12,0,2,0,0,0,2,0,0,0,4,0,0,2,0,0,0.166666666666667,"80s"
"garbege01",1980,1,"ATL","NL",68,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,"80s"
"garneph01",1980,1,"PIT","NL",151,548,62,142,27,6,5,58,32,7,46,53,12,2,7,7,12,0.259124087591241,"80s"
"garvest01",1980,1,"LAN","NL",163,658,78,200,27,1,26,106,6,11,36,67,6,3,3,4,17,0.303951367781155,"80s"
"geronce01",1980,1,"CIN","NL",103,145,16,37,5,0,2,9,2,1,14,24,3,0,2,1,2,0.255172413793103,"80s"
"griffke01",1980,1,"CIN","NL",146,544,89,160,28,10,13,85,23,1,62,77,4,1,3,5,4,0.294117647058824,"80s"
"griffto02",1980,1,"SFN","NL",44,18,1,2,0,0,1,1,0,0,0,7,0,0,2,0,0,0.111111111111111,"80s"
"grossgr01",1980,1,"PHI","NL",127,154,19,37,7,2,0,12,1,1,24,7,1,1,3,0,4,0.24025974025974,"80s"
"guerrpe01",1980,1,"LAN","NL",75,183,27,59,9,1,7,31,2,1,12,31,3,0,1,3,2,0.322404371584699,"80s"
"gullibi01",1980,1,"MON","NL",24,40,2,7,1,0,0,0,0,0,2,11,0,0,10,0,0,0.175,"80s"
"hasslan01",1980,1,"PIT","NL",6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"80s"
"hendeke01",1980,1,"CHN","NL",44,82,7,16,3,0,2,9,0,0,17,19,3,0,0,0,3,0.195121951219512,"80s"
"hendrge01",1980,1,"SLN","NL",150,572,73,173,33,2,25,109,6,1,32,67,9,4,1,4,14,0.302447552447552,"80s"
"hernake01",1980,1,"SLN","NL",159,595,111,191,39,8,16,99,14,8,86,73,4,4,1,4,14,0.321008403361345,"80s"
"herrto01",1980,1,"SLN","NL",76,222,29,55,12,5,0,15,9,2,16,21,5,1,1,2,8,0.247747747747748,"80s"
"hillma01",1980,1,"SFN","NL",17,41,1,7,2,0,0,0,0,0,1,7,0,0,1,0,1,0.170731707317073,"80s"
"hootobu01",1980,1,"LAN","NL",34,64,4,4,0,0,1,6,0,0,3,15,0,0,14,0,0,0.0625,"80s"
"houghch01",1980,1,"LAN","NL",19,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,"80s"
"howelja01",1980,1,"CIN","NL",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"jacksgr01",1980,1,"PIT","NL",61,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"80s"
"johnscl01",1980,2,"CHN","NL",68,196,28,46,8,0,10,34,0,0,29,35,5,1,0,1,4,0.23469387755102,"80s"
"johnsja01",1980,1,"LAN","NL",109,251,31,77,15,2,2,20,3,2,24,29,1,2,2,0,3,0.306772908366534,"80s"
"jorgemi01",1980,1,"NYN","NL",119,321,43,82,11,0,7,43,0,3,46,55,6,0,1,0,10,0.255451713395639,"80s"
