"cpi","ip","gnp.nom","vel","emp","int.rate","nom.wages","gnp.def","money.stock","gnp.real","stock.prices","gnp.capita","real.wages","unemp","date","decade"
4.0943446,2.6946272,11.424094,0.77932488,10.616413,5.1,7.3343294,4.1157798,3.5496174,4.9416424,2.0769384,7.1815919,3.2398542,1.6486586,"1920-01-01",1910-01-01
3.9815491,2.4336134,11.15052,0.63127178,10.560178,5.17,7.2413663,3.9550825,3.4919517,4.8504665,1.9257074,7.0707241,3.2596338,2.4595888,"1921-01-01",1920-01-01
3.916015,2.6741486,11.213171,0.62593843,10.62459,4.71,7.1569564,3.9019727,3.5180911,4.9972123,2.1294215,7.2041493,3.2410286,1.9021075,"1922-01-01",1920-01-01
3.9337845,2.8507065,11.351582,0.70309751,10.690922,4.61,7.2463681,3.9259259,3.6000482,5.1113852,2.1482677,7.3011478,3.3127304,0.87546874,"1923-01-01",1920-01-01
3.9357395,2.7850112,11.346871,0.66782937,10.682973,4.66,7.2633296,3.914021,3.652734,5.1089712,2.2027648,7.2793188,3.3275508,1.6094379,"1924-01-01",1920-01-01
3.9608132,2.8791985,11.441429,0.62593843,10.716238,4.5,7.2793188,3.9318256,3.7388594,5.1896179,2.4114395,7.3453648,3.3185401,1.1631508,"1925-01-01",1920-01-01
3.9702919,2.9391619,11.482466,0.66268797,10.746433,4.4,7.297091,3.9357395,3.7768903,5.2470241,2.5329028,7.3889461,3.326833,0.58778666,"1926-01-01",1920-01-01
3.9512437,2.9391619,11.460579,0.62057649,10.747122,4.3,7.3145528,3.912023,3.8006444,5.2459709,2.7304638,7.3740019,3.3631493,1.1939225,"1927-01-01",1920-01-01
3.9376908,2.9755296,11.482466,0.60431597,10.753083,4.05,7.335634,3.9199912,3.8377304,5.2517497,2.9932291,7.3677086,3.3978585,1.4350845,"1928-01-01",1920-01-01
3.9376908,3.08191,11.543406,0.66268797,10.776662,4.42,7.3414839,3.9239516,3.8416005,5.3161573,3.2588655,7.4211775,3.4038605,1.1631508,"1929-01-01",1920-01-01
3.912023,2.8959119,11.411634,0.51879379,10.730728,4.4,7.3051882,3.8979241,3.8227545,5.2122147,3.04595,7.3065314,3.3931652,2.163323,"1930-01-01",1920-01-01
3.8199077,2.7080502,11.236117,0.37156356,10.661017,4.1,7.2218358,3.8022081,3.7539647,5.1316723,2.6144719,7.2181768,3.4018638,2.7663191,"1931-01-01",1930-01-01
3.7111301,2.4595888,10.969043,0.21511138,10.576177,4.7,7.0475172,3.693867,3.5849069,4.9712012,1.9358598,7.0509894,3.3364811,3.1612467,"1932-01-01",1930-01-01
3.6584202,2.6246686,10.925956,0.27763174,10.571573,4.15,6.9902565,3.6712245,3.4725874,4.9522997,2.1927702,7.0264268,3.3318473,3.2148678,"1933-01-01",1930-01-01
3.6913763,2.7146947,11.082973,0.3852624,10.624979,3.99,7.0501225,3.7424202,3.5368931,5.0388988,2.2864557,7.1066061,3.3586378,3.0773123,"1934-01-01",1930-01-01
3.7160081,2.8564702,11.187846,0.39877612,10.657965,3.5,7.1033221,3.7518543,3.6653549,5.1328529,2.360854,7.1936858,3.3874365,3.0007198,"1935-01-01",1930-01-01
3.7256934,3.0252911,11.320323,0.45107562,10.707952,3.2,7.1600692,3.7541989,3.7723011,5.2626902,2.7389027,7.3172124,3.4343097,2.8273136,"1936-01-01",1930-01-01
3.7612001,3.1135153,11.412508,0.49469624,10.749785,3.08,7.226936,3.7954892,3.8216606,5.3141907,2.7350166,7.3626453,3.4657359,2.6602595,"1937-01-01",1930-01-01
3.7424202,2.8791985,11.346517,0.41210965,10.704592,3,7.1670379,3.7819143,3.8179321,5.2621719,2.4414771,7.3024964,3.4245883,2.944439,"1938-01-01",1930-01-01
3.7281002,3.08191,11.413039,0.40546511,10.739002,2.75,7.2174434,3.7658405,3.8973154,5.3442463,2.4898942,7.3765081,3.4892083,2.8449094,"1939-01-01",1930-01-01
3.7376696,3.2386785,11.5097,0.39204209,10.780206,2.7,7.2668273,3.7819143,4.010963,5.4258307,2.3997118,7.4500796,3.5292974,2.6810215,"1940-01-01",1930-01-01
3.7864598,3.4594663,11.732382,0.45742485,10.858422,2.65,7.4103471,3.8543939,4.1353265,5.5748121,2.2844211,7.5893358,3.6238075,2.2925348,"1941-01-01",1940-01-01
3.8877303,3.6000482,11.969781,0.5988365,10.963359,2.65,7.6123368,3.9702919,4.2649309,5.6964221,2.1598688,7.6998424,3.7244879,1.5475625,"1942-01-01",1940-01-01
3.9473901,3.7999735,12.163123,0.55961579,11.058638,2.65,7.761745,4.0395363,4.4988092,5.8203796,2.442347,7.8099471,3.8144102,0.64185389,"1943-01-01",1940-01-01
3.9646155,3.8774316,12.255358,0.47623418,11.087819,2.6,7.830823,4.0638854,4.6709579,5.8897086,2.5233258,7.8674886,3.8661885,0.18232156,"1944-01-01",1940-01-01
3.9871305,3.7208625,12.264082,0.31481074,11.070693,2.55,7.830823,4.089332,4.8410325,5.872681,2.7186604,7.8391316,3.8437442,0.64185389,"1945-01-01",1940-01-01
4.0690268,3.5610461,12.247737,0.14842001,10.980195,2.43,7.830823,4.200205,4.9323133,5.7449244,2.8379082,7.7012002,3.7618975,1.3609766,"1946-01-01",1940-01-01
4.203199,3.6737658,12.35157,0.18232156,10.979002,2.5,7.9348716,4.3121405,4.9836066,5.7362497,2.7193198,7.6732231,3.7316995,1.3609766,"1947-01-01",1940-01-01
4.278054,3.7135721,12.459016,0.28517894,10.998811,2.8,8.0189547,4.3770141,4.9978877,5.7798172,2.7427736,7.6998424,3.7409974,1.3350011,"1948-01-01",1940-01-01
4.2682979,3.6584202,12.454822,0.26236426,10.989791,2.74,8.0375432,4.3707129,4.9938282,5.7810521,2.7232672,7.6834037,3.7693067,1.7749524,"1949-01-01",1940-01-01
4.278054,3.8044378,12.559434,0.3435897,11.011555,2.58,8.1022836,4.3845235,5.0159545,5.8729625,2.9123507,7.7587605,3.8242841,1.6677068,"1950-01-01",1940-01-01
4.3541414,3.885679,12.702,0.45107562,11.051874,2.67,8.1909089,4.4496853,5.0524168,5.9490788,3.1063788,7.8180279,3.8368683,1.1939225,"1951-01-01",1950-01-01
4.375757,3.9239516,12.752742,0.44468582,11.064229,3,8.2511421,4.4716388,5.1053392,5.9791389,3.1986731,7.830823,3.875359,1.0986123,"1952-01-01",1950-01-01
4.3832759,4.0036902,12.806537,0.45107562,11.077918,3.15,8.3072126,4.4807401,5.1428325,6.0229632,3.2080171,7.8582542,3.9239516,1.0647107,"1953-01-01",1950-01-01
4.3882572,3.9473901,12.807217,0.41210965,11.058165,3,8.3243363,4.4953553,5.177279,6.0088132,3.3908103,7.8264431,3.9361301,1.7047481,"1954-01-01",1950-01-01
4.3845235,4.0673159,12.894107,0.46373402,11.085521,3.04,8.3793095,4.50976,5.213304,6.0822189,3.701055,7.8823149,3.9947084,1.4816045,"1955-01-01",1950-01-01
4.3993753,4.1108739,12.946194,0.5068176,11.107345,3.09,8.4314174,4.5432948,5.2305737,6.1005431,3.8420296,7.8830694,4.0321145,1.410987,"1956-01-01",1950-01-01
4.4343819,4.1239034,12.997104,0.51879379,11.110521,3.68,8.4734503,4.5798524,5.2564532,6.1147878,3.7927889,7.8792915,4.039008,1.458615,"1957-01-01",1950-01-01
4.4612998,4.0569888,13.011061,0.47623418,11.092428,3.61,8.5063344,4.6051702,5.3038023,6.1032295,3.8338452,7.851272,4.0449792,1.9169226,"1958-01-01",1950-01-01
4.4693505,4.1697612,13.089144,0.51879379,11.115161,4.1,8.5604442,4.6210435,5.3475836,6.1652077,4.0496958,7.8965527,4.0911729,1.7047481,"1959-01-01",1950-01-01
4.4852599,4.1926805,13.129804,0.54232429,11.131548,4.55,8.5852256,4.6376374,5.3504353,6.1897005,4.0226695,7.9006366,4.0999952,1.7047481,"1960-01-01",1950-01-01
4.4953553,4.1987046,13.161771,0.52472853,11.131929,4.22,8.6137753,4.6501436,5.3990673,6.2089924,4.1937373,7.9035963,4.1183866,1.9021075,"1961-01-01",1960-01-01
4.5064542,4.278054,13.236272,0.53649337,11.149514,4.42,8.6534708,4.6615505,5.4548937,6.2724996,4.1332447,7.9519114,4.1470951,1.7047481,"1962-01-01",1960-01-01
4.5185224,4.3372907,13.28873,0.52472853,11.163368,4.16,8.6860917,4.6746962,5.5178544,6.3117348,4.2466364,7.9765954,4.167595,1.7404662,"1963-01-01",1960-01-01
4.5315236,4.4042772,13.357293,0.53649337,11.185032,4.33,8.7316592,4.6895113,5.5785971,6.3649229,4.3990067,8.0159878,4.200205,1.6486586,"1964-01-01",1960-01-01
4.5485998,4.490881,13.437005,0.54232429,11.209263,4.35,8.762333,4.7086289,5.6556421,6.4261648,4.4792668,8.0649509,4.2137559,1.5040774,"1965-01-01",1960-01-01
4.5767707,4.5849675,13.527638,0.56531381,11.238725,4.75,8.8013189,4.7353209,5.7300998,6.4893569,4.4457054,8.1164171,4.2244952,1.3350011,"1966-01-01",1960-01-01
4.6051702,4.6051702,13.584747,0.54232429,11.262128,4.95,8.8363739,4.767289,5.8045324,6.5150089,4.5210274,8.1312365,4.2312037,1.3350011,"1967-01-01",1960-01-01
4.6463121,4.6615505,13.669562,0.54232429,11.282946,5.93,8.9020473,4.806477,5.8905386,6.5604647,4.5920849,8.1667843,4.2557545,1.2809338,"1968-01-01",1960-01-01
4.6986605,4.7068238,13.741966,0.54812141,11.307229,6.54,8.9586687,4.8535915,5.9537627,6.5857578,4.5833335,8.1822797,4.2600002,1.252763,"1969-01-01",1960-01-01
4.7561731,4.6700212,13.789296,0.54812141,11.312216,7.6,9.0057732,4.9074945,5.9947093,6.5792512,4.4214877,8.1650793,4.2496374,1.5892352,"1970-01-01",1960-01-01
4.7986642,4.6841389,13.913272,0.58079485,11.306393,6.099,9.0528535,4.9717756,6.0990686,6.6067,4.5879223,8.1785483,4.2541893,1.7749524,"1971-01-01",1970-01-01
4.8302586,4.7764753,14.008442,0.61094334,11.338167,5.989,9.135485,5.0179885,6.2168746,6.6552832,4.6931811,8.2164263,4.3052264,1.7227666,"1972-01-01",1970-01-01
4.8906017,4.8546659,14.12248,0.64323177,11.3718,6.659,9.2086877,5.0805088,6.3114079,6.705961,4.6768395,8.2575593,4.3180859,1.5892352,"1973-01-01",1970-01-01
4.9952863,4.8397243,14.202676,0.63370211,11.390927,7.349,9.2689518,5.1675202,6.3706122,6.700553,4.4170317,8.2430147,4.2736654,1.7227666,"1974-01-01",1970-01-01
5.0826357,4.7474204,14.284514,0.62605631,11.379668,7.339,9.345106,5.2611455,6.4599264,6.687906,4.456206,8.2205079,4.2624703,2.1400662,"1975-01-01",1970-01-01
5.1386576,4.835414,14.393696,0.64658878,11.412221,7.139,9.4377968,5.3232569,6.5817039,6.7356178,4.6250708,8.2587175,4.2991392,2.0412203,"1976-01-01",1970-01-01
5.2016571,4.912295,14.503896,0.66931558,11.447565,7.419,9.5272178,5.3876964,6.7009965,6.781224,4.5870062,8.294266,4.3255607,1.9600948,"1977-01-01",1970-01-01
5.2748217,4.9752698,14.626307,0.69706753,11.489442,8.249,9.6124693,5.4579762,6.7828573,6.8328012,4.5645565,8.3352474,4.3376476,1.8082888,"1978-01-01",1970-01-01
5.3823272,5.0139487,14.735076,0.71243155,11.517127,9.099,9.6899071,5.5429079,6.8622155,6.8572808,4.6348261,8.3486913,4.30758,1.7578579,"1979-01-01",1970-01-01
5.5089477,4.9947962,14.820544,0.70791578,11.521955,11.169,9.7590436,5.629389,6.9393739,6.8556192,4.777273,8.3350953,4.2500959,1.9600948,"1980-01-01",1970-01-01
5.6071222,5.016655,14.931504,0.74387346,11.53314,13.229,9.855984,5.7218309,7.0294186,6.8747935,4.8523427,8.3438697,4.2488618,2.0281482,"1981-01-01",1980-01-01
5.6669052,4.9428242,14.96798,0.70900627,11.524795,12.589,9.8938128,5.7837063,7.1188699,6.8489768,4.7850722,8.3077558,4.2269076,2.2721259,"1982-01-01",1980-01-01
5.6985244,5.0003059,15.040961,0.69009857,11.537716,11.199,9.9634555,5.8219651,7.2368443,6.8840768,5.077733,8.3331023,4.2649311,2.2617631,"1983-01-01",1980-01-01
5.7407911,5.1062157,15.143169,0.71078082,11.577795,12.349,10.018269,5.8578857,7.3141543,6.9496707,5.0780447,8.3893616,4.2774775,2.014903,"1984-01-01",1980-01-01
5.7757829,5.1249841,15.205523,0.70686455,11.597781,11.109,10.050728,5.8871651,7.4003523,6.9826227,5.2302526,8.4127477,4.2749452,1.974081,"1985-01-01",1980-01-01
5.7941996,5.1362383,15.258091,0.68820448,11.620011,8.499,10.075372,5.9129787,7.4803232,7.0096668,5.4652714,8.4300848,4.2811725,1.9459101,"1986-01-01",1980-01-01
5.8300457,5.1731196,15.324973,0.67576289,11.645505,8.999,10.101049,5.9441231,7.5444435,7.0455416,5.6588897,8.456477,4.2710033,1.8245493,"1987-01-01",1980-01-01
5.870586,5.2285646,15.400779,0.6678024,11.667165,9.339,10.130371,5.976803,7.5945765,7.0888837,5.5827065,8.4908482,4.2597845,1.7047481,"1988-01-01",1980-01-01
