"county","var2","coef","se","Uppm"
"POLK","floor",-3.11751075872967,1.59712451986487,1.30488
"POLK","intercept",6.63014816270589,1.79019044736659,1.30488
"POPE","floor",-1.70843966164757,1.59718164122366,1.32465
"POPE","intercept",4.94795877459212,1.80766234611403,1.32465
"RAMSEY","floor",-0.61731784060009,0.94000759304914,0.658327
"RAMSEY","intercept",3.77255573490079,0.718777134307434,0.658327
"REDWOOD","floor",-2.03568747369715,1.41606200216783,1.44242
"REDWOOD","intercept",6.1795870294875,1.52640023450532,1.44242
"RENVILLE","floor",-1.83817021993763,1.59715177471945,1.46313
"RENVILLE","intercept",5.23383307674611,1.79854807382799,1.46313
"RICE","floor",-3.32895415599483,1.16797152304774,1.21306
"RICE","intercept",6.99582709398052,1.12552102031434,1.21306
"ROCK","floor",-2.1303709698896,1.59718164122366,1.69558
"ROCK","intercept",5.49721058627618,1.80766234611403,1.69558
"ROSEAU","floor",-2.42043265454921,1.29297839672165,0.808928
"ROSEAU","intercept",5.80002247414689,1.32917837700175,0.808928
"SCOTT","floor",-2.84091780815942,1.18571895282169,1.06515
"SCOTT","intercept",7.16248099503018,1.16446410143077,1.06515
"SHERBURNE","floor",-0.906335336291287,1.22819424125702,0.504879
"SHERBURNE","intercept",3.90381427700285,1.22515566450759,0.504879
"SIBLEY","floor",-1.51406922769951,1.41691228785344,1.26771
"SIBLEY","intercept",4.69493580403184,1.53195975448515,1.26771
"STEARNS","floor",-2.33780558076477,0.989382902889401,1.12344
"STEARNS","intercept",5.50582995445514,0.828215007759193,1.12344
"STEELE","floor",-2.25484545850433,1.17183877835666,1.30971
"STEELE","intercept",5.65924605755928,1.12774438424643,1.30971
"STEVENS","floor",-2.50709535224855,1.59718164122366,1.60124
"STEVENS","intercept",5.98761398956552,1.80766234611403,1.60124
"STLOUIS","floor",-0.854268075494935,0.712131212659522,0.622088
"STLOUIS","intercept",3.32692352272205,0.400918052114735,0.622088
"SWIFT","floor",-1.12444468033049,1.41691228785344,1.37167
"SWIFT","intercept",4.1877395274373,1.53195975448515,1.37167
"TODD","floor",-1.95833950509289,1.59715177471945,0.95424
"TODD","intercept",5.3978621140023,1.79854807382799,0.95424
"TRAVERSE","floor",-3.96535927227517,1.49455589769819,1.64476
"TRAVERSE","intercept",7.83856177981519,1.64583257603822,1.64476
"WABASHA","floor",-3.48552177855568,1.30311917183408,1.16193
"WABASHA","intercept",7.13712418567359,1.34930000719159,1.16193
"WADENA","floor",-1.75964291746463,1.49422971668959,0.510671
"WADENA","intercept",4.8988752124746,1.63942098821372,0.510671
"WASECA","floor",-1.63227957227494,1.49455589769819,1.23666
"WASECA","intercept",4.7413232902452,1.64583257603822,1.23666
"WASHINGTON","floor",-2.14003697133413,0.876349335965489,0.862876
"WASHINGTON","intercept",5.13998480304092,0.613041795797546,0.862876
"WATONWAN","floor",-3.91802045654777,1.73794066610848,1.2011
"WATONWAN","intercept",8.18293271321948,1.99203871392551,1.2011
"WILKIN","floor",-3.02966896736771,1.73826186230602,1.26622
"WILKIN","intercept",6.66787757568899,2.01619657543322,1.26622
"WINONA","floor",-3.63277974302157,1.16106120980437,1.58917
"WINONA","intercept",7.09372677796739,1.12155554850002,1.58917
"WRIGHT","floor",-2.5732162886705,1.12397023991546,0.913909
"WRIGHT","intercept",6.01798224351147,1.04859888195937,0.913909
"YELLOWMEDICINE","floor",-1.61802580988142,1.59718164122366,1.42659
"YELLOWMEDICINE","intercept",4.83026195780268,1.80766234611403,1.42659
